Run_Count, MatDim_X, MatDim_Y, Data_Type, Mat_2_Row_Major, AVX, Thread_Count, Tile_Length, Execution_Time_ms0, 100, 100, 0, 0, 0, 1, 64, +2.964
0, 800, 800, 0, 0, 0, 1, 64, +1345.395
1, 800, 800, 0, 0, 0, 1, 800, +1481.046
2, 800, 800, 0, 0, 0, 4, 64, +492.809
3, 800, 800, 0, 0, 0, 4, 800, +562.399
4, 800, 800, 0, 0, 1, 1, 64, +1250.870
5, 800, 800, 0, 0, 1, 1, 800, +1230.919
6, 800, 800, 0, 0, 1, 4, 64, +429.830
7, 800, 800, 0, 0, 1, 4, 800, +434.217
8, 800, 800, 0, 1, 0, 1, 64, +1184.051
9, 800, 800, 0, 1, 0, 1, 800, +1181.033
10, 800, 800, 0, 1, 0, 4, 64, +487.889
11, 800, 800, 0, 1, 0, 4, 800, +453.519
12, 800, 800, 0, 1, 1, 1, 64, +286.538
13, 800, 800, 0, 1, 1, 1, 800, +189.821
14, 800, 800, 0, 1, 1, 4, 64, +112.110
15, 800, 800, 0, 1, 1, 4, 800, +69.417
16, 800, 800, 1, 0, 0, 1, 64, +1243.701
17, 800, 800, 1, 0, 0, 1, 800, +1564.329
18, 800, 800, 1, 0, 0, 4, 64, +442.437
19, 800, 800, 1, 0, 0, 4, 800, +575.918
20, 800, 800, 1, 0, 1, 1, 64, +1012.254
21, 800, 800, 1, 0, 1, 1, 800, +1205.541
22, 800, 800, 1, 0, 1, 4, 64, +378.173
23, 800, 800, 1, 0, 1, 4, 800, +407.186
24, 800, 800, 1, 1, 0, 1, 64, +1218.222
25, 800, 800, 1, 1, 0, 1, 800, +1228.531
26, 800, 800, 1, 1, 0, 4, 64, +461.642
27, 800, 800, 1, 1, 0, 4, 800, +440.789
28, 800, 800, 1, 1, 1, 1, 64, +350.236
29, 800, 800, 1, 1, 1, 1, 800, +328.945
30, 800, 800, 1, 1, 1, 4, 64, +131.131
31, 800, 800, 1, 1, 1, 4, 800, +130.708
0, 1000, 1000, 0, 0, 0, 1, 64, +2616.803
1, 1000, 1000, 0, 0, 0, 1, 992, +2913.875
2, 1000, 1000, 0, 0, 0, 4, 64, +1253.706
3, 1000, 1000, 0, 0, 0, 4, 992, +1425.929
4, 1000, 1000, 0, 0, 1, 1, 64, +2417.665
5, 1000, 1000, 0, 0, 1, 1, 992, +2359.344
6, 1000, 1000, 0, 0, 1, 4, 64, +903.710
7, 1000, 1000, 0, 0, 1, 4, 992, +1088.094
8, 1000, 1000, 0, 1, 0, 1, 64, +2253.478
9, 1000, 1000, 0, 1, 0, 1, 992, +2246.690
10, 1000, 1000, 0, 1, 0, 4, 64, +983.121
11, 1000, 1000, 0, 1, 0, 4, 992, +1026.325
12, 1000, 1000, 0, 1, 1, 1, 64, +558.606
13, 1000, 1000, 0, 1, 1, 1, 992, +376.058
14, 1000, 1000, 0, 1, 1, 4, 64, +209.878
15, 1000, 1000, 0, 1, 1, 4, 992, +157.133
16, 1000, 1000, 1, 0, 0, 1, 64, +2434.582
17, 1000, 1000, 1, 0, 0, 1, 992, +3229.934
18, 1000, 1000, 1, 0, 0, 4, 64, +1059.335
19, 1000, 1000, 1, 0, 0, 4, 992, +1489.605
20, 1000, 1000, 1, 0, 1, 1, 64, +2025.652
21, 1000, 1000, 1, 0, 1, 1, 992, +2439.037
22, 1000, 1000, 1, 0, 1, 4, 64, +866.226
23, 1000, 1000, 1, 0, 1, 4, 992, +1202.422
24, 1000, 1000, 1, 1, 0, 1, 64, +2340.515
25, 1000, 1000, 1, 1, 0, 1, 992, +2366.658
26, 1000, 1000, 1, 1, 0, 4, 64, +1032.785
27, 1000, 1000, 1, 1, 0, 4, 992, +1038.237
28, 1000, 1000, 1, 1, 1, 1, 64, +705.729
29, 1000, 1000, 1, 1, 1, 1, 992, +658.475
30, 1000, 1000, 1, 1, 1, 4, 64, +291.821
31, 1000, 1000, 1, 1, 1, 4, 992, +284.809
0, 2000, 2000, 0, 0, 0, 1, 64, +21280.367
1, 2000, 2000, 0, 0, 0, 1, 2000, +46135.777
2, 2000, 2000, 0, 0, 0, 4, 64, +9230.308
3, 2000, 2000, 0, 0, 0, 4, 2000, +19211.403
4, 2000, 2000, 0, 0, 1, 1, 64, +19934.507
5, 2000, 2000, 0, 0, 1, 1, 2000, +47084.591
6, 2000, 2000, 0, 0, 1, 4, 64, +7761.084
7, 2000, 2000, 0, 0, 1, 4, 2000, +19097.543
8, 2000, 2000, 0, 1, 0, 1, 64, +18460.381
9, 2000, 2000, 0, 1, 0, 1, 2000, +18829.176
10, 2000, 2000, 0, 1, 0, 4, 64, +8656.183
11, 2000, 2000, 0, 1, 0, 4, 2000, +8395.914
12, 2000, 2000, 0, 1, 1, 1, 64, +4404.756
13, 2000, 2000, 0, 1, 1, 1, 2000, +3070.180
14, 2000, 2000, 0, 1, 1, 4, 64, +1932.661
15, 2000, 2000, 0, 1, 1, 4, 2000, +1306.411
16, 2000, 2000, 1, 0, 0, 1, 64, +20460.804
